,fertilizer_idx_logret,cpi_logret,commodity_imp_idx_logret,commodity_exp_idx_logret,flour_price_logret,corn_price_logret,crude_oil_price_logret,wheat_price_logret,avg_temp,drought_idx,wheat_price_logret_future,month_sin,month_cos
count,419.0,419.0,419.0,419.0,419.0,419.0,419.0,419.0,419.0,419.0,419.0,419.0,419.0
mean,0.302,0.219,0.102,0.111,0.19,0.168,0.286,0.03,9.666,8.207,0.04,-0.002,0.001
std,3.947,0.272,1.153,0.781,3.529,5.838,8.862,6.701,8.879,6.982,6.698,0.708,0.708
min,-13.551,-1.786,-7.696,-3.79,-20.957,-25.176,-54.825,-26.025,-4.354,0.1,-26.025,-1.0,-1.0
25%,-1.592,0.091,-0.394,-0.209,-1.363,-2.819,-4.796,-3.861,1.639,2.8,-3.831,-0.683,-0.683
50%,0.338,0.215,0.14,0.104,0.0,0.195,1.252,-0.113,9.544,6.3,-0.113,-0.0,0.0
75%,2.572,0.343,0.719,0.488,1.578,3.627,5.64,3.974,18.447,11.85,3.974,0.5,0.683
max,20.349,1.367,3.372,3.847,13.134,21.966,39.219,25.018,23.197,32.4,25.018,1.0,1.0
