date,wheat_price_change,fertilizer_idx_change,avg_temp_change,drought_idx_change,cpi_change,commodity_imp_idx_change,commodity_exp_idx_change,flour_price_change,corn_price_change,crude_oil_price_change
1990-02-01,-0.1499999999999999,5.699999999999989,-0.7468775000000001,-0.7000000000000011,0.5,0.20000000000000284,-0.6000000000000085,-0.0040000000000000036,0.39365386962799676,-0.75
1990-03-01,-0.08000000000000007,-0.5,6.1874581,-3.4000000000000004,0.5999999999999943,-0.29999999999999716,0.20000000000000284,0.0030000000000000027,3.543151855469006,-1.7199999999999989
1990-04-01,0.010000000000000231,-0.5,5.1695535,-3.1999999999999993,0.30000000000001137,-0.8000000000000114,0.29999999999999716,-0.0010000000000000009,8.661018371582003,-1.9600000000000009
1990-05-01,-0.0900000000000003,-3.299999999999997,4.3464030000000005,-0.9000000000000004,0.19999999999998863,-0.3999999999999915,0.20000000000000284,0.0030000000000000027,2.7557601928709943,-0.23000000000000043
1990-06-01,0.4500000000000002,-3.3999999999999915,6.257711999999998,0.20000000000000018,0.8000000000000114,-0.4000000000000057,-0.20000000000000284,0.0050000000000000044,-1.1810302734370026,-1.5
1990-07-01,-1.06,0.6999999999999886,1.6784380000000034,-2.0,0.5999999999999943,-0.29999999999999716,0.20000000000000284,0.0010000000000000009,-5.117874145507997,1.75
1990-08-01,-0.20999999999999996,1.9000000000000057,-0.7353450000000024,-1.7999999999999998,1.0999999999999943,2.799999999999997,0.10000000000000853,-0.0050000000000000044,-5.117874145507997,8.86
1990-09-01,-0.1200000000000001,6.400000000000006,-3.6385900000000007,1.2999999999999998,0.9000000000000057,3.200000000000003,0.3999999999999915,-0.006000000000000005,-7.479957580565994,6.199999999999999
1990-10-01,-0.029999999999999805,5.699999999999989,-7.756221999999999,-1.0999999999999996,0.9000000000000057,2.799999999999997,0.7999999999999972,-0.0050000000000000044,-2.362091064453409,2.530000000000001
1990-11-01,-0.040000000000000036,2.8000000000000114,-6.161610199999999,2.0999999999999996,0.29999999999998295,-0.5999999999999943,0.10000000000000853,-0.009000000000000008,0.0,-3.710000000000001
1990-12-01,0.009999999999999787,0.5999999999999943,-6.776942200000001,2.6000000000000005,0.5,-0.29999999999999716,-0.4000000000000057,0.0010000000000000009,2.362091064453409,-5.049999999999997
1991-01-01,0.020000000000000018,0.8000000000000114,-0.5060066000000001,0.6999999999999993,0.5,-1.4000000000000057,0.5,0.008000000000000007,3.1494522094719883,-2.0500000000000007
1991-02-01,0.0,0.09999999999999432,4.60542854,6.6,0.10000000000002274,-2.0,-0.09999999999999432,-0.009000000000000008,0.787353515625,-4.75
1991-03-01,0.10999999999999988,-0.9000000000000057,2.56866626,-7.5,0.0,0.0,-0.29999999999999716,0.0,2.7557907104500003,-0.5800000000000018
1991-04-01,0.07000000000000028,-2.1999999999999886,5.8924492,-4.3999999999999995,0.29999999999998295,-0.7999999999999972,0.19999999999998863,0.0020000000000000018,1.1810531616210085,0.9299999999999997
1991-05-01,0.04999999999999982,-2.3000000000000114,5.7401575000000005,-1.9999999999999998,0.5,-0.20000000000000284,-0.19999999999998863,-0.0020000000000000018,-4.495849609375,0.40000000000000213
1991-06-01,0.43000000000000016,-2.4000000000000057,4.4636075,-0.40000000000000013,0.4000000000000057,-0.5999999999999943,-0.30000000000001137,0.0020000000000000018,-0.6220245361329972,-1.0399999999999991
1991-07-01,-0.5800000000000001,-0.5,2.309241,0.0,0.19999999999998863,-0.6000000000000085,-0.3999999999999915,0.0020000000000000018,0.6167602539059942,1.2099999999999973
1991-08-01,0.1299999999999999,1.2000000000000028,-0.8521970000000003,0.20000000000000018,0.4000000000000057,0.29999999999999716,0.29999999999999716,-0.0010000000000000009,4.388916015625,0.2900000000000027
1991-09-01,0.16999999999999993,-0.3999999999999915,-4.341412999999999,3.6999999999999997,0.4000000000000057,0.20000000000000284,-0.4000000000000057,-0.005999999999999978,-1.2656860351559942,0.1999999999999993
1991-10-01,0.27,1.0999999999999943,-6.269615000000002,0.0,0.19999999999998863,0.7999999999999972,1.0,-0.0020000000000000018,0.6701965332029971,1.3399999999999999
1991-11-01,0.18000000000000016,-1.4000000000000057,-8.9252422,-1.7999999999999998,0.6000000000000227,0.4000000000000057,0.10000000000000853,-0.01200000000000001,-2.725456237792997,-0.7699999999999996
1991-12-01,0.18999999999999995,1.1000000000000085,-2.5095815999999997,0.5,0.39999999999997726,-0.20000000000000284,-1.0,0.0050000000000000044,-0.07718658447301152,-2.960000000000001
1992-01-01,0.10000000000000009,-1.1000000000000085,-0.8438881999999999,1.0999999999999996,0.10000000000002274,-0.29999999999999716,0.0,0.017999999999999988,2.8656768798830115,-0.7100000000000009
1992-02-01,0.23999999999999977,-0.6999999999999886,2.38075585,1.8000000000000007,0.29999999999998295,0.0,0.5999999999999943,0.0030000000000000027,4.334899902343992,0.22000000000000242
1992-03-01,-0.05999999999999961,-0.8000000000000114,3.54585555,2.0999999999999996,0.5,-0.09999999999999432,-0.09999999999999432,-0.0050000000000000044,2.7633361816410087,-0.08999999999999986
1992-04-01,-0.07000000000000028,-0.09999999999999432,4.841267599999999,-1.0,0.30000000000001137,-0.30000000000001137,0.20000000000000284,-0.0010000000000000009,-7.629455566407003,1.3099999999999987
1992-05-01,-0.009999999999999787,1.4000000000000057,5.150612000000001,4.6,0.29999999999998295,0.4000000000000057,0.29999999999999716,0.007000000000000006,0.1227722167970029,0.75
